Year,Number of Incidents,Killed (includes shooter),Fatalities/Incident,Injured Victims (not killed),Injured Victims/Incident,Total Injured/Killed Victims,Victims/Incident
2019,38,9,0.236842105,37,0.973684211,46,1.210526316
2018,97,56,0.577319588,109,1.12371134,165,1.701030928
2017,44,24,0.545454545,54,1.227272727,78,1.772727273
2016,45,13,0.288888889,50,1.111111111,63,1.4
2015,34,9,0.264705882,31,0.911764706,40,1.176470588
2014,43,22,0.511627907,30,0.697674419,52,1.209302326
2013,33,18,0.545454545,26,0.787878788,44,1.333333333
2012,18,38,2.111111111,11,0.611111111,49,2.722222222
2011,13,4,0.307692308,19,1.461538462,23,1.769230769
2010,15,6,0.4,13,0.866666667,19,1.266666667
2009,31,7,0.225806452,31,1,38,1.225806452
2008,35,18,0.514285714,18,0.514285714,36,1.028571429
2007,43,12,0.279069767,49,1.139534884,61,1.418604651
2006,59,28,0.474576271,46,0.779661017,74,1.254237288
2005,47,22,0.468085106,49,1.042553191,71,1.510638298
2004,35,15,0.428571429,28,0.8,43,1.228571429
2003,31,15,0.483870968,21,0.677419355,36,1.161290323
2002,19,6,0.315789474,18,0.947368421,24,1.263157895
2001,25,13,0.52,29,1.16,42,1.68
2000,28,12,0.428571429,11,0.392857143,23,0.821428571
1999,22,27,1.227272727,44,2,71,3.227272727
1998,28,26,0.928571429,53,1.892857143,79,2.821428571
1997,20,22,1.1,26,1.3,48,2.4
1996,21,22,1.047619048,9,0.428571429,31,1.476190476
1995,19,17,0.894736842,17,0.894736842,34,1.789473684
1994,37,25,0.675675676,19,0.513513514,44,1.189189189
1993,42,40,0.952380952,14,0.333333333,54,1.285714286
1992,30,18,0.6,52,1.733333333,70,2.333333333
1991,31,14,0.451612903,27,0.870967742,41,1.322580645
1990,15,5,0.333333333,12,0.8,17,1.133333333
1989,16,11,0.6875,44,2.75,55,3.4375
1988,38,14,0.368421053,55,1.447368421,69,1.815789474
1987,24,13,0.541666667,18,0.75,31,1.291666667
1986,16,11,0.6875,86,5.375,97,6.0625
1985,19,9,0.473684211,27,1.421052632,36,1.894736842
1984,25,8,0.32,44,1.76,52,2.08
1983,25,13,0.52,23,0.92,36,1.44
1982,18,9,0.5,14,0.777777778,23,1.277777778
1981,17,5,0.294117647,14,0.823529412,19,1.117647059
1980,20,8,0.4,24,1.2,32,1.6
1979,14,5,0.357142857,23,1.642857143,28,2
1978,16,8,0.5,20,1.25,28,1.75
1977,16,4,0.25,15,0.9375,19,1.1875
1976,11,4,0.363636364,17,1.545454545,21,1.909090909
1975,14,5,0.357142857,17,1.214285714,22,1.571428571
1974,16,12,0.75,23,1.4375,35,2.1875
1973,18,6,0.333333333,25,1.388888889,31,1.722222222
1972,18,6,0.333333333,22,1.222222222,28,1.555555556
1971,21,9,0.428571429,19,0.904761905,28,1.333333333
1970,19,7,0.368421053,24,1.263157895,31,1.631578947
